[2024-05-12T20:32:24.256+0500] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-05-12T20:32:24.269+0500] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: extract_transform_load_data_dag.extract_data manual__2024-05-12T15:32:20.356671+00:00 [queued]>
[2024-05-12T20:32:24.273+0500] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: extract_transform_load_data_dag.extract_data manual__2024-05-12T15:32:20.356671+00:00 [queued]>
[2024-05-12T20:32:24.273+0500] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2024-05-12T20:33:15.438+0500] {logging_mixin.py:188} INFO - 430/522 links done from Dawn.
[2024-05-12T20:33:15.702+0500] {logging_mixin.py:188} INFO - 431/522 links done from Dawn.
[2024-05-12T20:33:15.979+0500] {logging_mixin.py:188} INFO - 432/522 links done from Dawn.
[2024-05-12T20:33:16.236+0500] {logging_mixin.py:188} INFO - 433/522 links done from Dawn.
[2024-05-12T20:33:16.511+0500] {logging_mixin.py:188} INFO - 434/522 links done from Dawn.
[2024-05-12T20:33:16.761+0500] {logging_mixin.py:188} INFO - 436/522 links done from Dawn.
[2024-05-12T20:33:17.080+0500] {logging_mixin.py:188} INFO - 437/522 links done from Dawn.
[2024-05-12T20:33:17.357+0500] {logging_mixin.py:188} INFO - 438/522 links done from Dawn.
[2024-05-12T20:33:17.651+0500] {logging_mixin.py:188} INFO - 439/522 links done from Dawn.
[2024-05-12T20:33:17.979+0500] {logging_mixin.py:188} INFO - 440/522 links done from Dawn.
[2024-05-12T20:33:18.251+0500] {logging_mixin.py:188} INFO - 441/522 links done from Dawn.
[2024-05-12T20:33:18.556+0500] {logging_mixin.py:188} INFO - 442/522 links done from Dawn.
[2024-05-12T20:33:18.817+0500] {logging_mixin.py:188} INFO - 443/522 links done from Dawn.
[2024-05-12T20:33:19.105+0500] {logging_mixin.py:188} INFO - 444/522 links done from Dawn.
[2024-05-12T20:33:19.394+0500] {logging_mixin.py:188} INFO - 446/522 links done from Dawn.
[2024-05-12T20:33:20.209+0500] {logging_mixin.py:188} INFO - 447/522 links done from Dawn.
[2024-05-12T20:33:20.473+0500] {logging_mixin.py:188} INFO - 448/522 links done from Dawn.
[2024-05-12T20:33:20.730+0500] {logging_mixin.py:188} INFO - 449/522 links done from Dawn.
[2024-05-12T20:33:20.991+0500] {logging_mixin.py:188} INFO - 450/522 links done from Dawn.
[2024-05-12T20:33:21.249+0500] {logging_mixin.py:188} INFO - 451/522 links done from Dawn.
[2024-05-12T20:33:21.524+0500] {logging_mixin.py:188} INFO - 452/522 links done from Dawn.
[2024-05-12T20:33:21.880+0500] {logging_mixin.py:188} INFO - 453/522 links done from Dawn.
[2024-05-12T20:33:22.135+0500] {logging_mixin.py:188} INFO - 454/522 links done from Dawn.
[2024-05-12T20:33:22.425+0500] {logging_mixin.py:188} INFO - 456/522 links done from Dawn.
[2024-05-12T20:33:22.693+0500] {logging_mixin.py:188} INFO - 457/522 links done from Dawn.
[2024-05-12T20:33:22.953+0500] {logging_mixin.py:188} INFO - 458/522 links done from Dawn.
[2024-05-12T20:33:23.209+0500] {logging_mixin.py:188} INFO - 459/522 links done from Dawn.
[2024-05-12T20:33:23.471+0500] {logging_mixin.py:188} INFO - 460/522 links done from Dawn.
[2024-05-12T20:33:23.730+0500] {logging_mixin.py:188} INFO - 461/522 links done from Dawn.
[2024-05-12T20:33:23.989+0500] {logging_mixin.py:188} INFO - 462/522 links done from Dawn.
[2024-05-12T20:33:24.242+0500] {logging_mixin.py:188} INFO - 463/522 links done from Dawn.
[2024-05-12T20:33:24.505+0500] {logging_mixin.py:188} INFO - 464/522 links done from Dawn.
[2024-05-12T20:33:24.753+0500] {logging_mixin.py:188} INFO - 466/522 links done from Dawn.
[2024-05-12T20:33:25.070+0500] {logging_mixin.py:188} INFO - 467/522 links done from Dawn.
[2024-05-12T20:33:25.326+0500] {logging_mixin.py:188} INFO - 468/522 links done from Dawn.
[2024-05-12T20:33:25.588+0500] {logging_mixin.py:188} INFO - 469/522 links done from Dawn.
[2024-05-12T20:33:25.849+0500] {logging_mixin.py:188} INFO - 471/522 links done from Dawn.
[2024-05-12T20:33:26.134+0500] {logging_mixin.py:188} INFO - 472/522 links done from Dawn.
[2024-05-12T20:33:26.465+0500] {logging_mixin.py:188} INFO - 473/522 links done from Dawn.
[2024-05-12T20:33:26.741+0500] {logging_mixin.py:188} INFO - 474/522 links done from Dawn.
[2024-05-12T20:33:27.324+0500] {logging_mixin.py:188} INFO - 488/522 links done from Dawn.
[2024-05-12T20:33:27.784+0500] {logging_mixin.py:188} INFO - 490/522 links done from Dawn.
[2024-05-12T20:33:27.786+0500] {logging_mixin.py:188} INFO - Data saved to data.csv
[2024-05-12T20:33:27.787+0500] {python.py:237} INFO - Done. Returned value was: None
[2024-05-12T20:33:27.787+0500] {taskinstance.py:441} INFO - ::group::Post task execution logs
[2024-05-12T20:33:27.792+0500] {taskinstance.py:1206} INFO - Marking task as SUCCESS. dag_id=extract_transform_load_data_dag, task_id=extract_data, run_id=manual__2024-05-12T15:32:20.356671+00:00, execution_date=20240512T153220, start_date=20240512T153224, end_date=20240512T153327
[2024-05-12T20:33:27.854+0500] {local_task_job_runner.py:240} INFO - Task exited with return code 0
[2024-05-12T20:33:27.868+0500] {taskinstance.py:3498} INFO - 1 downstream tasks scheduled from follow-on schedule check
[2024-05-12T20:33:27.880+0500] {local_task_job_runner.py:222} INFO - ::endgroup::
